"Year","Authors","Title","Cites"
2010,"A Botzenhardt, A Maedche","towards a performance measurement reference model for software product management",4
2010,"A Botzenhardt, A Maedche, C Schloegel, W Nixdorf","introduction of product management in a banking  retail it solutions company<u+0097>an experience report",1
2010,"A Maedche","an erpcentric master data management approach.",12
2010,"C Krammer, A Maedche","decisionwave embedding collaborative decision making into business processes",0
2010,"H Meth, A M<e4>dche","usercentered requirements elicitation for business intelligence solutions.",3
2010,"N Koppenhagen, A Maedche","anatomy of business networks future internet enterprise systems accelerating procurement interoperability",1
2010,"N Koppenhagen, A Maedche","towards collaborative procurement network enterprise systemsadesign science research project",0
2010,"O Ga<df>, A M<e4>dche","teaching the transformation from classical onpremise towards on-demand enterprise systems.",5
2010,"S Schacht, A Maedche","building retired employee enterprise communities",2
2010,"S Schacht, A Maedche","on enterprise information systems addressing the demographic change",0
2011,"A Botzenhardt, A Maedche, J Wiesner","developing a domain ontology for software product management",13
2011,"A Botzenhardt, A Witt, A Maedche","a text mining application for exploring the voice of the customer",6
2011,"A Botzenhardt, H Meth, A Maedche","crossfunctional integration of product management and product design in application software development: exploration of success factors",18
2011,"A Maedche, A Botzenhardt, S Schacht","enterprise systems",1
2011,"D Beimborn, A M<e4>dche, B M<fc>ller","the role of platforms for enterprise ecosystems",0
2011,"D Beimborn, A M<e4>dche, B M<fc>ller","workshop on the role of platforms for enterprise ecosystems 3ep).",4
2011,"F Hadasch, A Maedche, B Mueller","leaking confidential information by nonmalicious user behavior in enterprise systems-an empirical study",1
2011,"F Hadasch, B M<fc>ller, A Maedche","leaking confidential information by nonmalicious user behavior in enterprise systems-design of an empirical study",0
2011,"F Kahrau","a design theory for task management systems",0
2011,"H Meth, F Kahrau","crossfunctional integration of product management and product design in application software development: exploration of success factors-interview transcripts",0
2011,"M Schallbruch, S Micklitz, C Kurz, L Steels, M Broy, D Dolev, C We<df>el, ...","sicherheit in der informationstechnikverantwortungsteilung zwischen nutzern, wirtschaft und staat",0
2011,"N Koppenhagen, N Katz, A Maedche, B M<fc>ller","how do procurement networks become social design principles evaluation in a heterogeneous environment of structured and unstructured interactions",8
2011,"O Ga<df>, C Krammer, A Maedche","regis<u+0096>a web application platformbased university research group information system",0
2011,"O Gass, A Maedche","enabling enduser-driven data interoperability-a design science research project.",8
2011,"S Bloehdorn, S Blohm, P Cimiano, E Giesbrecht, A Hotho, U L<f6>sch, ...","combining datadriven and semantic approaches for text mining",2
2012,"A Maedche","interview mit clemens daeschle zum thema <u+0084>management globaler softwareentwicklung in der sap ag <u+0093>",2
2012,"A Maedche","interview with clemens daeschle on <u+0093>management of global software development at sap ag<u+0094>",0
2012,"A Maedche, A Botzenhardt, H Meth","usability und usercentered design",0
2012,"A Maedche, A Botzenhardt, L Neer","software for people a paradigm change in the software industry",2
2012,"A Maedche, A Botzenhardt, L Neer","software for people fundamentals, trends and best practices",29
2012,"A Maedche, B Mueller","enterprise systems<u+0096>a research agenda",4
2012,"B Morschheuser","gamification motivationstechniken zur unterst<fc>tzung von quantified self",0
2012,"C Atkinson, F Barth, R Gerbig, F Freiling, S Schinzel, F Hadasch, ...","reducing the incidence of unintended human-caused information flows in enterprise systems",3
2012,"E Graupner, A M<e4>dche","competitive advantage through process visibility a resource-based model",5
2012,"E Graupner, A M<e4>dche","hash 0x3755b758)",0
2012,"F Hadasch, B Mueller, A Maedche","exploring antecedent environmental and organizational factors to usercaused information leaks: a qualitative study",11
2012,"F Scheiber, D Wruk, A Oberg, J Britsch, M Woywode, A Maedche, ...","software usability in small and medium sized enterprises in germany an empirical study",15
2012,"H Meth, A Maedche, M Einoeder","exploring design principles of task elicitation systems for unrestricted natural language documents",9
2012,"H Meth, Y Li, A Maedche, B Mueller","understanding design principles of task elicitation systemsan experimental evaluation",0
2012,"HM Meth, Y Li, A Maedche, B Mueller","advancing task elicitation systems<u+0096>an experimental evaluation of design principles",5
2012,"J Britsch, S Schacht, A M<e4>dche","anything relationship management",15
2012,"M Berner, E Graupner, A Maedche, B M<fc>ller","process visibilitytowards a conceptualization and research themes",10
2012,"M Woywode, A Maedche, D Wallach, M Plach","gebrauchstauglichkeit von anwendungssoftware als wettbewerbsfaktor f<fc>r kleine und mittlere unternehmen kmu): abschlussbericht",9
2012,"O Ga<df>, H Meth, A Maedche","assessing cloud development platformswhat platform as a service offers and what not",0
2012,"O Ga<df>, N Koppenhagen, H Biegel, A Maedche, B M<fc>ller","anatomy of knowledge bases used in design science research",20
2012,"S Schacht, A Botzenhardt, A Maedche","askeris-a many-to-one communication platform for higher education",1
2012,"T Neef, S Morana, BG Humm","a criteriadriven method for architecting domain-specific ie applications",0
2012,"Y Li, A Maedche","formulating effective coordination strategies in agile global software development teams",14
2012,"Y Li, B M<fc>ller, A M<e4>dche","managerial interventions in multicultural virtual teams a review and synthesis of the literature",0
2012,"Y Li, H Li, A M<e4>dche, PLP Rau","are you a trustworthy partner in a crosscultural virtual environment? behavioral cultural intelligence and receptivity-based trust in virtual collaboration",18
2013,"A M<e4>dche, B M<fc>ller","how banks reinvent themselves through enterprise systems",0
2013,"A Maedche, V Pekar, S Staab","14 ontology learning part one<u+0097>on discovering",0
2013,"A Shrestha, A Cater-Steel, M Toleman, WG Tan","a decision support tool to define scope in it service management process assessment and improvement",7
2013,"BS Morschheuser, V Rivera-Pelayo, A Mazarakis, V Zacharias","gamifying quantified self approaches for learning an experiment with the live interest meter",2
2013,"CS Heckmann, A Maedche","towards platformbased enterprise systems<u+0096>conceptualization and research directions",1
2013,"F Kahrau","knowledge workers time management as sociomaterial practice",3
2013,"H Meth, A Maedche, M Einoeder","is knowledge power the role of knowledge in automated requirements elicitation",5
2013,"H Meth, M Brhel, A Maedche","the state of the art in automated requirements elicitation",63
2013,"J Lauterbach, F Kahrau, A Maedche, B M<fc>ller","reconceptualizing enterprise systems[ifip 8.2 organizations and society in information systems workshop (oasis 2013)]",0
2013,"J Lauterbach, F Kahrau, A Maedche, B Mueller","reconceptualizing enterprise systems",2
2013,"K Werder","a social media strategy framework for software product companies",0
2013,"O Ga<df>, A M<e4>dche, H Biegel, M Li","designing an artifact for the integration of ubiquitous information systems in an enterprise context",0
2013,"P Wei<df>, A Maedche","ontologybased virtual business networks",0
2013,"RW Helms, K Werder","who reads corporate tweets network analysis of follower communities",4
2013,"S Morana, S Schacht, A Scherp, A M<e4>dche","user guidance for documentdriven processes in enterprise systems",7
2013,"S Schacht, A M<e4>dche","how to prevent reinventing the wheel<u+0096>design principles for project knowledge management systems",24
2014,"A M<e4>dche","interview mit peter schnaebele zum thema <u+0084>user experience <u+0093>",0
2014,"A M<e4>dche","interview with peter schnaebele on user experience""",0
2014,"A M<e4>dche, D Wallach","agile und nutzerzentrierte softwareentwicklung",2
2014,"A M<e4>dche, D Wruk","nutzerzentrierte informationssysteme f<fc>r den deutschen mittelstand",1
2014,"B Morschheuser, R Bons, R Alt","outsourcing die standardisierung gewinnt an relevanz",0
2014,"B Morschheuser, RWH Bons, R Alt","outsourcing die standardisierung gewinnt an relevanz, in aspekte einer effizienten bankorganisation",0
2014,"B Morschheuser, T Zerndt, R Alt, R Bons, T Puschmann","banking 2020  zwischen individualisierung und standardisierung",2
2014,"BS Morschheuser, V Rivera-Pelayo, A Mazarakis, V Zacharias","interaction and reflection with quantified self and gamification an experimental study",21
2014,"E Graupner, M Berner, A Maedche, H Jegadeesan","assessing the need for visibility of business processes<u+0096>a process visibility fit framework",5
2014,"E Graupner, M Berner, A Maedche, H Jegadeesan","business intelligence  analytics for processes-a visibility requirements evaluation",9
2014,"G Stevens, M Burmester, S Brandenburg, S D<f6>belt, D Kugelmeier, ...","usability f<fc>r die betriebliche praxis",3
2014,"H Gimpel, MTP Adam, A Maedche, R Riedl","stresssensitive adaptive enterprise systems: theoretical foundations and design blueprint",0
2014,"J Lauterbach, F Kahrau, B Mueller, A Maedche","what makes <u+0093>the system<u+0094> tick-explaining individuals<u+0092> adaptation behavior towards effective use in enterprise system implementations",16
2014,"K Ortbach, O Ga<df>, S K<f6>ffer, S Schacht, N Walter, A Maedche, B Niehaves","design principles for a social question and answers site enabling user-to-user support in organizations",15
2014,"K Werder, P Haake, A Maedche","usability readiness of german software smesthree segments and their characteristics.",3
2014,"K Werder, RW Helms, S Jansen","social media for success a strategic framework",14
2014,"M Berner, E Graupner, A Maedche","the information panopticon in the big data era",49
2014,"M Kirchhoff","eine sparqlschnittstelle f<fc>r odata-services",1
2014,"M Kretzer, A Maedche","generativity of business intelligence platforms a research agenda guided by lessons from shadow it",18
2014,"M Kretzer, A Maedche, O Gass","barriers to bia generativity: which factors impede stable bi&a platforms from enabling organizational agility?",7
2014,"MTP Adam, H Gimpel, A Maedche, R Riedl","stresssensitive adaptive enterprise systems: theoretical foundations and design blueprint",12
2014,"O Gass, H Meth, A Maedche","paas characteristics for productive software development an evaluation framework",25
2014,"S Morana, S Schacht, A Scherp, A Maedche","conceptualization and typology of guidance in information systems",7
2014,"S Morana, S Schacht, A Scherp, A Maedche","designing a process guidance system to support user<u+0092>s business process compliance",16
2014,"S Schacht, S Morana, A M<e4>dche","the project worldgamification in project knowledge management",18
2014,"S Seidel, L Chandra, N Reuter, D Stieger, M Gau","green ecommunity: sensemaking in environmental sustainability transformations",4
2015,"B Morschheuser, C Henzi, R Alt","increasing intranet usage through gamification <u+0096> insights from an experiment in the banking industry",29
2015,"B Morschheuser, C Hrach, R Alt, C Lefanczyk","gamifizierung mit bpmn",3
2015,"B Niehaves, A Maedche, S K<f6>ffer, S Schacht, K Ortbach, O Ga<df>, N Walter","wechange<u+0096>eine demografiesensible supportplattform zur wissensvernetzung im unternehmen",0
2015,"CS Heckmann, A Maedche","smarticity<u+0096>a feedback system foreenergy consumption and costs",0
2015,"E Graupner, A Maedche","process digitisation in retail banking an empirical examination of process virtualization theory",7
2015,"E Graupner, C Schewer, A Maedche","visibility of business processesan information processing perspective in the financial services industry",3
2015,"E Graupner, E Urbitsch, A Maedche","a conceptualization and operationalization of process visibility capabilities",4
2015,"E Graupner, F Melcher, D Demers, A Maedche","customers intention to use digital services in retail banking-an information processing perspective",25
2015,"F Kahrau","interpretive case study on es transformationinterview data",0
2015,"F Kahrau","repairing routines in enterprise system transformations a sociomaterial perspective",0
2015,"FA Shah, M Kretzer, A M<e4>dche","designing an analytics platform for professional sports teams",5
2015,"H Meth, B Mueller, A Maedche","designing a requirement mining system",55
2015,"Interviewed by Alexander M<e4>dche maedche@ es. uni-mannheim. de","interview with wolfgang gaertner on <u+0093>digitalization in retail banking differentiation and standardization through it<u+0094>",12
2015,"M Berner","systematic literature review <u+0093>enterprise systems chartering<u+0094><u+0096>review procedure and analysis results",0
2015,"M Berner, J Gansen, A Maedche","design principles for an enterprise systems chartering method",0
2015,"M Brhel, H Meth, A Maedche, K Werder","exploring principles of usercentered agile software development: a literature review",233
2015,"M Kretzer, A M<e4>dche","which are the most effective measures for improving employees<u+0092> security compliance",4
2015,"M Kretzer, M Kleinedler, C Theilemann, A M<e4>dche","designing a report recommendation assistant a first design cycle",3
2015,"M Kretzer, M Nadj, A M<e4>dche","the effect of recommender systems on users<u+0092> situation awareness and actions",1
2015,"M Kretzer, O Ga<df>, A M<e4>dche","design principles for diffusion of reports and innovative use of business intelligence platforms",3
2015,"M Nadj, S Morana, A Maedche","towards a situationawareness-driven design of operational business intelligence & analytics systems",7
2015,"O Ga<df>, K Ortbach, M Kretzer, A Maedche, B Niehaves","conceptualizing individualization in information systems<u+0096>a literature review",16
2015,"O Gass, G <d6>zt<fc>rk, S Schacht, A M<e4>dche","designing an enterprise social questions and answers site to enable scalable userto-user support",2
2015,"O Gass, K Ortbach, A Maedche, H B<e4>r","wissen beherrschen durch dezentralen itsupport",0
2015,"P Haake, A M<e4>dche, B Mueller, J Lauterbach","the effect of user adaptation on the effective use of enterprise systems",6
2015,"S Morana","conceptualization and design of process guidance systems",0
2015,"S Morana","experiment data setdesign cycle two",0
2015,"S Morana","interviews and workshopsdesign cycle one",0
2015,"S Morana","survey data setdesign cycle three",0
2015,"S Morana","ticketing processesdesign cycle three",0
2015,"S Morana, S Schacht, T Gerards, A Maedche","itsm processguide<u+0096>a longitudinal and multimethod field study for",0
2015,"S Morana, S Schacht, T Gerards, A Maedche","itsm processguide<u+0096>a longitudinal and multimethod field study for real-world dsr artifact evaluation",1
2015,"S Morana, T Gerards, A M<e4>dche","itsm processguide<u+0096>a process guidance system for it service management",6
2015,"S Schacht, A Maedche","project knowledge management while simply playing gaming mechanics in project knowledge management systems",15
2015,"S Schacht, A Reindl, S Morana, A Maedche","projekterfahrungen spielend einfach mit der projectworld<u+0096>ein gamifiziertes projektwissensmanagementsystem",5
2015,"S Schacht, S Morana, A Maedche","the evolution of design principles enabling knowledge reuse for projects an action design research project",14
2015,"S Schacht, S Morana, N Urbach, A Maedche","are you a maverick towards a segmentation of collaboration technology users",3
2016,"A Botzenhardt, Y Li, A Maedche","the roles of form and function in utilitarian mobile data service design",6
2016,"A M<e4>dche","forschungsgruppe iismissd (m<e4>dche) winter 2017/2018",0
2016,"A Maedche","interview with michael nilles on <u+0093>what makes leaders successful in the age of the digital transformation<u+0094>",14
2016,"A Maedche, S Morana, S Schacht, D Werth, J Krumeich","advanced user assistance systems",71
2016,"B Morschheuser, J Hamari, J Koivisto","gamification in crowdsourcing a review",171
2016,"C Heckmann, JSC Hsu, A Maedche","it ambidexterity<u+0096>conceptualization at the business process level",2
2016,"D Hummel, S Schacht, A Maedche","determinants of multichannel behavior: exploring avenues for future research in the services industry",8
2016,"F Hadasch, A Maedche, S Gregor","the influence of directive explanations on users<u+0092> business process compliance performance",3
2016,"H Hartenstein, A Maedche, M Zitterbart","value sensitive design of internetbased services: towards an integration of technology and values",0
2016,"K Werder","team agility and team performancethe moderating effect of user involvement.",2
